ID,rank,scientificName
Neomorphinae,subfamily,"Neomorphinae"
Couinae,subfamily,"Couinae"
Centropodinae,subfamily,"Centropodinae"
Cuculinae,subfamily,"Cuculinae"
Rhinorthini,tribe,"Rhinorthini"
Phaenicophaeini,tribe,"Phaenicophaeini"
Cuculini,tribe,"Cuculini"
Strisores,superorder,"Strisores"
Caprimulgiformes,order,"Caprimulgiformes"
Caprimulgidae,family,"Caprimulgidae"
Steatornithiformes,order,"Steatornithiformes"
Steatornithidae,family,"Steatornithidae"
Nyctibiiformes,order,"Nyctibiiformes"
Nyctibiidae,family,"Nyctibiidae"
Podargiformes,order,"Podargiformes"
Podargidae,family,"Podargidae"
Apodiformes,order,"Apodiformes"
Aegothelidae,family,"Aegothelidae"
Hemiprocnidae,family,"Hemiprocnidae"
Apodidae,family,"Apodidae"
Cypseloidinae,subfamily,"Cypseloidinae"
Apodinae,subfamily,"Apodinae"
Collocaliini,tribe,"Collocaliini"
Chaeturini,tribe,"Chaeturini"
Apodini,tribe,"Apodini"
Trochilidae,family,"Trochilidae"
Florisuginae,subfamily,"Florisuginae"
Topazini,tribe,"Topazini"
Florisugini,tribe,"Florisugini"
Phaethornithinae,subfamily,"Phaethornithinae"
Eutoxerini,tribe,"Eutoxerini"
Phaethornithini,tribe,"Phaethornithini"
Polytminae,subfamily,"Polytminae"
Lesbiinae,subfamily,"Lesbiinae"
Lesbiini,tribe,"Lesbiini"
Coeligenini,tribe,"Coeligenini"
Trochilinae,subfamily,"Trochilinae"
Patagonini,tribe,"Patagonini"
Lampornithini,tribe,"Lampornithini"
Mellisugini,tribe,"Mellisugini"
Cynanthini,tribe,"Cynanthini"
Trochilini,tribe,"Trochilini"
Gruae,clade,"Gruae"
Opisthocomiformes,order,"Opisthocomiformes"
Opisthocomidae,family,"Opisthocomidae"
Gruimorphae,superorder,"Gruimorphae"
Gruiformes,order,"Gruiformes"
Psophiidae,family,"Psophiidae"
Aramidae,family,"Aramidae"
Gruidae,family,"Gruidae"
Balearicinae,subfamily,"Balearicinae"
Gruinae,subfamily,"Gruinae"
Heliornithidae,family,"Heliornithidae"
Sarothruridae,family,"Sarothruridae"
Rallidae,family,"Rallidae"
'Incertae sedis',subfamily,"'Incertae sedis'"
Rallinae,subfamily,"Rallinae"
Gallinulinae,subfamily,"Gallinulinae"
Pardirallini,tribe,"Pardirallini"
Gallinulini,tribe,"Gallinulini"
Porphyrioninae,subfamily,"Porphyrioninae"
Porphyrionini,tribe,"Porphyrionini"
Himantornithini,tribe,"Himantornithini"
Zapornini,tribe,"Zapornini"
Laterallini,tribe,"Laterallini"
Mirandornithes,superorder,"Mirandornithes"
Phoenicopteriformes,order,"Phoenicopteriformes"
Phoenicopteridae,family,"Phoenicopteridae"
Podicipediformes,order,"Podicipediformes"
Podicipedidae,family,"Podicipedidae"
Ardeae,parvclass,"Ardeae"
Eurypygimorphae,superorder,"Eurypygimorphae"
Eurypygiformes,order,"Eurypygiformes"
Aptornithidae,family,"Aptornithidae"
Rhynochetidae,family,"Rhynochetidae"
Eurypygidae,family,"Eurypygidae"
Phaethontiformes,order,"Phaethontiformes"
Phaethontidae,family,"Phaethontidae"
Aequornithes,superorder,"Aequornithes"
Gaviiformes,order,"Gaviiformes"
Gaviidae,family,"Gaviidae"
Sphenisciformes,order,"Sphenisciformes"
Spheniscidae,family,"Spheniscidae"
Procellariiformes,order,"Procellariiformes"
Diomedeidae,family,"Diomedeidae"
Oceanitidae,family,"Oceanitidae"
Hydrobatidae,family,"Hydrobatidae"
Procellariidae,family,"Procellariidae"
Fulmarinae,subfamily,"Fulmarinae"
Pelecanoidinae,subfamily,"Pelecanoidinae"
Pterodrominae,subfamily,"Pterodrominae"
Procellariinae,subfamily,"Procellariinae"
Ciconiiformes,order,"Ciconiiformes"
Ciconiidae,family,"Ciconiidae"
Suliformes,order,"Suliformes"
Fregatidae,family,"Fregatidae"
Sulidae,family,"Sulidae"
Anhingidae,family,"Anhingidae"
Phalacrocoracidae,family,"Phalacrocoracidae"
Plataleiformes,order,"Plataleiformes"
Threskiornithidae,family,"Threskiornithidae"
Eudociminae,subfamily,"Eudociminae"
Threskiornithinae,subfamily,"Threskiornithinae"
Pelecaniformes,order,"Pelecaniformes"
Scopidae,family,"Scopidae"
Balaenicipitidae,family,"Balaenicipitidae"
Pelecanidae,family,"Pelecanidae"
Ardeiformes,order,"Ardeiformes"
Ardeidae,family,"Ardeidae"
Tigriornithinae,subfamily,"Tigriornithinae"
Cochleariinae,subfamily,"Cochleariinae"
Botaurinae,subfamily,"Botaurinae"
Nycticoracinae,subfamily,"Nycticoracinae"
Ardeinae,subfamily,"Ardeinae"
Charadriiformes,order,"Charadriiformes"
Chionidi,suborder,"Chionidi"
Pluvianellidae,family,"Pluvianellidae"
Chionidae,family,"Chionidae"
Burhinidae,family,"Burhinidae"
Charadrii,suborder,"Charadrii"
Pluvianidae,family,"Pluvianidae"
Pluvialidae,family,"Pluvialidae"
Recurvirostridae,family,"Recurvirostridae"
Ibidorhynchidae,family,"Ibidorhynchidae"
Haematopodidae,family,"Haematopodidae"
Charadriidae,family,"Charadriidae"
Charadriinae,subfamily,"Charadriinae"
Vanellinae,subfamily,"Vanellinae"
Anarhynchinae,subfamily,"Anarhynchinae"
Scolopaci (Limicoli),suborder,"Scolopaci (Limicoli)"
Pedionomidae,family,"Pedionomidae"
Thinocoridae,family,"Thinocoridae"
Rostratulidae,family,"Rostratulidae"
Jacanidae,family,"Jacanidae"
Scolopacidae,family,"Scolopacidae"
Numeninae,subfamily,"Numeninae"
Limosinae,subfamily,"Limosinae"
Arenariinae,subfamily,"Arenariinae"
Tringinae,subfamily,"Tringinae"
Scolopacinae,subfamily,"Scolopacinae"
Turnici,suborder,"Turnici"
Turnicidae,family,"Turnicidae"
Lari,suborder,"Lari"
Dromadidae,family,"Dromadidae"
Glareolidae,family,"Glareolidae"
Stercorariidae,family,"Stercorariidae"
Alcidae,family,"Alcidae"
Laridae,family,"Laridae"
Gyginae,subfamily,"Gyginae"
Rhynchopinae,subfamily,"Rhynchopinae"
Anoinae,subfamily,"Anoinae"
Sterninae,subfamily,"Sterninae"
Larinae,subfamily,"Larinae"
Telluraves,parvclass,"Telluraves"
Afroaves,clade,"Afroaves"
Coliiformes,order,"Coliiformes"
Coliidae,family,"Coliidae"
Accipitrimorphae,superorder,"Accipitrimorphae"
Cathartiformes,order,"Cathartiformes"
Cathartidae,family,"Cathartidae"
Accipitriformes,order,"Accipitriformes"
Sagittariidae,family,"Sagittariidae"
Pandionidae,family,"Pandionidae"
Accipitridae,family,"Accipitridae"
Elaninae,subfamily,"Elaninae"
Gypaetinae,subfamily,"Gypaetinae"
Perninae,subfamily,"Perninae"
Gypinae,subfamily,"Gypinae"
Circaetinae,subfamily,"Circaetinae"
Lophospizinae,subfamily,"Lophospizinae"
Harpiinae,subfamily,"Harpiinae"
Aquilinae,subfamily,"Aquilinae"
Accipitrinae,subfamily,"Accipitrinae"
Melieraxini,tribe,"Melieraxini"
Accipitrini,tribe,"Accipitrini"
Buteoninae,subfamily,"Buteoninae"
Harpagini,tribe,"Harpagini"
Milvini,tribe,"Milvini"
Buteonini,tribe,"Buteonini"
Strigiformes,order,"Strigiformes"
Tytonidae,family,"Tytonidae"
Strigidae,family,"Strigidae"
Ninoxinae,subfamily,"Ninoxinae"
Surniinae,subfamily,"Surniinae"
Striginae,subfamily,"Striginae"
Otini,tribe,"Otini"
Asionini,tribe,"Asionini"
Megascopini,tribe,"Megascopini"
Pulsatricini,tribe,"Pulsatricini"
Strigini,tribe,"Strigini"
Bubonini,tribe,"Bubonini"
Picimorphae,superorder,"Picimorphae"
Leptosomiformes,order,"Leptosomiformes"
Leptosomidae,family,"Leptosomidae"
Trogoniformes,order,"Trogoniformes"
Trogonidae,family,"Trogonidae"
Bucerotiformes,order,"Bucerotiformes"
Upupidae,family,"Upupidae"
Phoeniculidae,family,"Phoeniculidae"
Bucorvidae,family,"Bucorvidae"
Bucerotidae,family,"Bucerotidae"
Coraciiformes,order,"Coraciiformes"
Meropi,suborder,"Meropi"
Meropidae,family,"Meropidae"
Coracii,suborder,"Coracii"
Brachypteracidae,family,"Brachypteracidae"
Coraciidae,family,"Coraciidae"
Halcyoni,suborder,"Halcyoni"
Todidae,family,"Todidae"
Momotidae,family,"Momotidae"
Alcedinidae,family,"Alcedinidae"
Alcedininae,subfamily,"Alcedininae"
Cerylinae,subfamily,"Cerylinae"
Halcyoninae,subfamily,"Halcyoninae"
Piciformes,order,"Piciformes"
Galbuli,suborder,"Galbuli"
Galbulidae,family,"Galbulidae"
Bucconidae,family,"Bucconidae"
Pici,suborder,"Pici"
Ramphastides,infraorder,"Ramphastides"
Megalaimidae,family,"Megalaimidae"
Lybiidae,family,"Lybiidae"
Capitonidae,family,"Capitonidae"
Semnornithidae,family,"Semnornithidae"
Ramphastidae,family,"Ramphastidae"
Picides,infraorder,"Picides"
Indicatoridae,family,"Indicatoridae"
Picidae,family,"Picidae"
Jynginae,subfamily,"Jynginae"
Picumninae,subfamily,"Picumninae"
Picinae,subfamily,"Picinae"
Nesoctitini,tribe,"Nesoctitini"
Hemicircini,tribe,"Hemicircini"
Chrysocolaptini,tribe,"Chrysocolaptini"
Campephilini,tribe,"Campephilini"
Picini,tribe,"Picini"
Melanerpini,tribe,"Melanerpini"
Picoidini,tribe,"Picoidini"
Australaves,clade,"Australaves"
Cariamiformes,order,"Cariamiformes"
Cariamidae,family,"Cariamidae"
Falconiformes,order,"Falconiformes"
Falconidae,family,"Falconidae"
Herpetotherinae,subfamily,"Herpetotherinae"
Caracarinae,subfamily,"Caracarinae"
Falconinae,subfamily,"Falconinae"
Polihieracini,tribe,"Polihieracini"
Falconini,tribe,"Falconini"
Psittaciformes,order,"Psittaciformes"
Strigopidae,family,"Strigopidae"
Cacatuidae,family,"Cacatuidae"
Psittacidae,family,"Psittacidae"
Psittacinae,subfamily,"Psittacinae"
Arinae,subfamily,"Arinae"
Amoropsittacini,tribe,"Amoropsittacini"
Brotogerini,tribe,"Brotogerini"
Androglossini,tribe,"Androglossini"
Forpini,tribe,"Forpini"
Arini,tribe,"Arini"
Psittaculidae,family,"Psittaculidae"
Psittrichasinae,subfamily,"Psittrichasinae"
Psittaculinae,subfamily,"Psittaculinae"
Psittaculini,tribe,"Psittaculini"
Psittacellini,tribe,"Psittacellini"
Pezoporini,tribe,"Pezoporini"
Platycercini,tribe,"Platycercini"
Agapornithini,tribe,"Agapornithini"
Loriini,tribe,"Loriini"
Passeriformes,order,"Passeriformes"
Acanthisitti,suborder,"Acanthisitti"
Acanthisittidae,family,"Acanthisittidae"
Tyranni (Suboscines),suborder,"Tyranni (Suboscines)"
Eurylaimides,infraorder,"Eurylaimides"
Sapayoidae,family,"Sapayoidae"
Philepittidae,family,"Philepittidae"
Philepittinae,subfamily,"Philepittinae"
Neodrepaninae,subfamily,"Neodrepaninae"
Eurylaimidae,family,"Eurylaimidae"
Pseudocalyptomeninae,subfamily,"Pseudocalyptomeninae"
Eurylaiminae,subfamily,"Eurylaiminae"
Smithornithidae,family,"Smithornithidae"
Calyptomenidae,family,"Calyptomenidae"
Pittidae,family,"Pittidae"
Tyrannides,infraorder,"Tyrannides"
Tyrannida,parvorder,"Tyrannida"
Pipridae,family,"Pipridae"
Neopelminae,subfamily,"Neopelminae"
Piprinae,subfamily,"Piprinae"
Cotingidae,family,"Cotingidae"
Pipreolinae,subfamily,"Pipreolinae"
Rupicolinae,subfamily,"Rupicolinae"
Phytotominae,subfamily,"Phytotominae"
Cotinginae,subfamily,"Cotinginae"
Cephalopterinini,tribe,"Cephalopterinini"
Lipaugidini,tribe,"Lipaugidini"
Procniatini,tribe,"Procniatini"
Cotingini,tribe,"Cotingini"
Oxyruncidae,family,"Oxyruncidae"
Onychorhynchidae,family,"Onychorhynchidae"
Tityridae,family,"Tityridae"
Ptilochlorinae,subfamily,"Ptilochlorinae"
Tityrinae,subfamily,"Tityrinae"
Pipritidae,family,"Pipritidae"
Platyrinchidae,family,"Platyrinchidae"
Tachurididae,family,"Tachurididae"
Rhynchocyclidae,family,"Rhynchocyclidae"
Pipromorphinae,subfamily,"Pipromorphinae"
Rhynchocyclinae,subfamily,"Rhynchocyclinae"
Cnipodectinae,subfamily,"Cnipodectinae"
Triccinae,subfamily,"Triccinae"
Tyrannidae,family,"Tyrannidae"
Hirundineinae,subfamily,"Hirundineinae"
Elaeniinae,subfamily,"Elaeniinae"
Euscarthmini,tribe,"Euscarthmini"
Elaeniini,tribe,"Elaeniini"
Muscigrallinae,subfamily,"Muscigrallinae"
Tyranninae,subfamily,"Tyranninae"
Fluvicolinae,subfamily,"Fluvicolinae"
Fluvicolini,tribe,"Fluvicolini"
Ochthoecini,tribe,"Ochthoecini"
Contopini,tribe,"Contopini"
Xolmiini,tribe,"Xolmiini"
Furnariida,parvorder,"Furnariida"
Melanopareioidea,superfamily,"Melanopareioidea"
Melanopareiidae,family,"Melanopareiidae"
Thamnophiloidea,superfamily,"Thamnophiloidea"
Conopophagidae,family,"Conopophagidae"
Thamnophilidae,family,"Thamnophilidae"
Euchrepomidinae,subfamily,"Euchrepomidinae"
Myrmornithinae,subfamily,"Myrmornithinae"
Thamnophilinae,subfamily,"Thamnophilinae"
Microrhopiini,tribe,"Microrhopiini"
Formicivorini,tribe,"Formicivorini"
Thamnophilini,tribe,"Thamnophilini"
Pyriglenini,tribe,"Pyriglenini"
Pithyini,tribe,"Pithyini"
Drymophilini,tribe,"Drymophilini"
Furnarioidea,superfamily,"Furnarioidea"
Grallariidae,family,"Grallariidae"
Rhinocryptidae,family,"Rhinocryptidae"
Formicariidae,family,"Formicariidae"
Furnariidae,family,"Furnariidae"
Sclerurinae,subfamily,"Sclerurinae"
Dendrocolaptinae,subfamily,"Dendrocolaptinae"
Xenopinae,subfamily,"Xenopinae"
Furnariinae,subfamily,"Furnariinae"
Berlepschiini,tribe,"Berlepschiini"
Pygarrhichadini,tribe,"Pygarrhichadini"
Furnariini,tribe,"Furnariini"
Philydornini,tribe,"Philydornini"
Margarornini,tribe,"Margarornini"
Synallaxini,tribe,"Synallaxini"
Passeri (Oscines),suborder,"Passeri (Oscines)"
Menurida,parvorder,"Menurida"
Menuridae,family,"Menuridae"
Atrichornithidae,family,"Atrichornithidae"
Climacterida,parvorder,"Climacterida"
Climacteridae,family,"Climacteridae"
Ptilonorhynchidae,family,"Ptilonorhynchidae"
Ailuroedinae,subfamily,"Ailuroedinae"
Ptilonorhynchinae,subfamily,"Ptilonorhynchinae"
Meliphagida,parvorder,"Meliphagida"
Maluridae,family,"Maluridae"
Amytornithinae,subfamily,"Amytornithinae"
Malurinae,subfamily,"Malurinae"
Dasyornithidae,family,"Dasyornithidae"
Pardalotidae,family,"Pardalotidae"
Pardalotinae,subfamily,"Pardalotinae"
Pachycareinae,subfamily,"Pachycareinae"
Acanthizinae,subfamily,"Acanthizinae"
Meliphagidae,family,"Meliphagidae"
Myzinae,subfamily,"Myzinae"
Gliciphilinae,subfamily,"Gliciphilinae"
Acanthorhynchini,tribe,"Acanthorhynchini"
Gliciphilini,tribe,"Gliciphilini"
Epthianurini,tribe,"Epthianurini"
Meliphaginae,subfamily,"Meliphaginae"
Philemoninae,subfamily,"Philemoninae"
Phylidonyrini,tribe,"Phylidonyrini"
Melithreptini,tribe,"Melithreptini"
Philemonini,tribe,"Philemonini"
Myzomelini,tribe,"Myzomelini"
Orthonychida,parvorder,"Orthonychida"
Orthonychidae,family,"Orthonychidae"
Pomatostomidae,family,"Pomatostomidae"
Corvida,parvorder,"Corvida"
Cinclosomatoidea,superfamily,"Cinclosomatoidea"
Cinclosomatidae,family,"Cinclosomatidae"
Campephagoidea,superfamily,"Campephagoidea"
Campephagidae,family,"Campephagidae"
Pericrocotinae,subfamily,"Pericrocotinae"
Campephaginae,subfamily,"Campephaginae"
Neosittoidea,superfamily,"Neosittoidea"
Neosittidae,family,"Neosittidae"
Mohouoidea,superfamily,"Mohouoidea"
Mohouidae,family,"Mohouidae"
Orioloidea,superfamily,"Orioloidea"
Eulacestomatidae,family,"Eulacestomatidae"
Psophodidae,family,"Psophodidae"
Oreoicidae,family,"Oreoicidae"
Falcunculidae,family,"Falcunculidae"
Paramythiidae,family,"Paramythiidae"
Pteruthiidae,family,"Pteruthiidae"
Vireonidae,family,"Vireonidae"
Erporninae,subfamily,"Erporninae"
Vireoninae,subfamily,"Vireoninae"
Pachycephalidae,family,"Pachycephalidae"
Oriolidae,family,"Oriolidae"
Malaconotoidea,superfamily,"Malaconotoidea"
Machaerirhynchidae,family,"Machaerirhynchidae"
Artamidae,family,"Artamidae"
Artaminae,subfamily,"Artaminae"
Cracticinae,subfamily,"Cracticinae"
Rhagologidae,family,"Rhagologidae"
Aegithinidae,family,"Aegithinidae"
Pityriaseidae,family,"Pityriaseidae"
Malaconotidae,family,"Malaconotidae"
Platysteiridae,family,"Platysteiridae"
Vangidae,family,"Vangidae"
Prionopinae,subfamily,"Prionopinae"
Tephrodornithinae,subfamily,"Tephrodornithinae"
Philentominae,subfamily,"Philentominae"
Vanginae,subfamily,"Vanginae"
Corvoidea,superfamily,"Corvoidea"
Dicruridae,family,"Dicruridae"
Lamproliidae,family,"Lamproliidae"
Rhipiduridae,family,"Rhipiduridae"
Ifritidae,family,"Ifritidae"
Melampittidae,family,"Melampittidae"
Corcoracidae,family,"Corcoracidae"
Paradisaeidae,family,"Paradisaeidae"
Phonygamminae,subfamily,"Phonygamminae"
Paradisaeinae,subfamily,"Paradisaeinae"
Monarchidae,family,"Monarchidae"
Terpsiphoninae,subfamily,"Terpsiphoninae"
Monarchinae,subfamily,"Monarchinae"
Laniidae,family,"Laniidae"
Corvidae,family,"Corvidae"
Pyrrhocoracinae,subfamily,"Pyrrhocoracinae"
Crypsirininae,subfamily,"Crypsirininae"
Cissinae,subfamily,"Cissinae"
Perisoreinae,subfamily,"Perisoreinae"
Cyanocoracinae,subfamily,"Cyanocoracinae"
Corvinae,subfamily,"Corvinae"
Passerida,parvorder,"Passerida"
Melanocharitoidea,superfamily,"Melanocharitoidea"
Melanocharitidae,family,"Melanocharitidae"
Cnemophiloidea,superfamily,"Cnemophiloidea"
Cnemophilidae,family,"Cnemophilidae"
Callaeoidea,superfamily,"Callaeoidea"
Notiomystidae,family,"Notiomystidae"
Callaeidae,family,"Callaeidae"
Petroicidae,family,"Petroicidae"
Petroicinae,subfamily,"Petroicinae"
Eopsaltriinae,subfamily,"Eopsaltriinae"
Picathardoidea,superfamily,"Picathardoidea"
Picathartidae,family,"Picathartidae"
Chaetopidae,family,"Chaetopidae"
Eupetidae,family,"Eupetidae"
Paroidea,superfamily,"Paroidea"
Stenostiridae,family,"Stenostiridae"
Hyliotidae,family,"Hyliotidae"
Remizidae,family,"Remizidae"
Paridae,family,"Paridae"
Sylvioidea,superfamily,"Sylvioidea"
Nicatoridae,family,"Nicatoridae"
Panuridae,family,"Panuridae"
Alaudidae,family,"Alaudidae"
Macrosphenidae,family,"Macrosphenidae"
Pnoepygidae,family,"Pnoepygidae"
Acrocephalidae,family,"Acrocephalidae"
Donacobiidae,family,"Donacobiidae"
Bernieridae,family,"Bernieridae"
Locustellidae,family,"Locustellidae"
Cisticolidae,family,"Cisticolidae"
Neomixinae,subfamily,"Neomixinae"
Eremomelinae,subfamily,"Eremomelinae"
Priniinae,subfamily,"Priniinae"
Cisticolinae,subfamily,"Cisticolinae"
Hirundinidae,family,"Hirundinidae"
Pseudochelidoninae,subfamily,"Pseudochelidoninae"
Hirundininae,subfamily,"Hirundininae"
Prognini,tribe,"Prognini"
Psalidoprocnini,tribe,"Psalidoprocnini"
Hirundinini,tribe,"Hirundinini"
Pycnonotidae,family,"Pycnonotidae"
Crinigerinae,subfamily,"Crinigerinae"
Pycnonotinae,subfamily,"Pycnonotinae"
Hyliidae,family,"Hyliidae"
Aegithalidae,family,"Aegithalidae"
Cettiidae,family,"Cettiidae"
Erythrocercinae,subfamily,"Erythrocercinae"
Scotocercinae,subfamily,"Scotocercinae"
Cettiinae,subfamily,"Cettiinae"
Phylloscopidae,family,"Phylloscopidae"
Sylviidae,family,"Sylviidae"
Paradoxornithidae,family,"Paradoxornithidae"
Zosteropidae,family,"Zosteropidae"
Timaliidae,family,"Timaliidae"
Pellorneidae,family,"Pellorneidae"
Leiothrichidae,family,"Leiothrichidae"
Reguloidea,superfamily,"Reguloidea"
Regulidae,family,"Regulidae"
Bombycilloidea,superfamily,"Bombycilloidea"
Elachuridae,family,"Elachuridae"
Mohoidae,family,"Mohoidae"
Ptiliogonidae,family,"Ptiliogonidae"
Dulidae,family,"Dulidae"
Hypocoliidae,family,"Hypocoliidae"
Bombycillidae,family,"Bombycillidae"
Certhioidea,superfamily,"Certhioidea"
Sittidae,family,"Sittidae"
Tichodromidae,family,"Tichodromidae"
Certhiidae,family,"Certhiidae"
Salpornithinae,subfamily,"Salpornithinae"
Certhiinae,subfamily,"Certhiinae"
Polioptilidae,family,"Polioptilidae"
Troglodytidae,family,"Troglodytidae"
Salpinctinae,subfamily,"Salpinctinae"
Odontorchilinae,subfamily,"Odontorchilinae"
Troglodytinae,subfamily,"Troglodytinae"
Muscicapoidea,superfamily,"Muscicapoidea"
Buphagidae,family,"Buphagidae"
Mimidae,family,"Mimidae"
Sturnidae,family,"Sturnidae"
Graculinae,subfamily,"Graculinae"
Rhabdornithini,tribe,"Rhabdornithini"
Graculini,tribe,"Graculini"
Sturninae,subfamily,"Sturninae"
Sturnini,tribe,"Sturnini"
Cinnyricinclini,tribe,"Cinnyricinclini"
Onychognathini,tribe,"Onychognathini"
Lamprotornini,tribe,"Lamprotornini"
Cinclidae,family,"Cinclidae"
Turdidae,family,"Turdidae"
Muscicapidae,family,"Muscicapidae"
Muscicapinae,subfamily,"Muscicapinae"
Alethini,tribe,"Alethini"
Copsychini,tribe,"Copsychini"
Muscicapini,tribe,"Muscicapini"
Niltavinae,subfamily,"Niltavinae"
Cossyphinae,subfamily,"Cossyphinae"
Saxicolinae,subfamily,"Saxicolinae"
'Incertae sedis',subfamily,"'Incertae sedis'"
Passeroidea,superfamily,"Passeroidea"
Promeropidae,family,"Promeropidae"
Arcanatoridae,family,"Arcanatoridae"
Dicaeidae,family,"Dicaeidae"
Nectariniidae,family,"Nectariniidae"
Irenidae,family,"Irenidae"
Chloropseidae,family,"Chloropseidae"
Peucedramidae,family,"Peucedramidae"
Prunellidae,family,"Prunellidae"
Urocynchramidae,family,"Urocynchramidae"
Ploceidae,family,"Ploceidae"
Viduidae,family,"Viduidae"
Estrildidae,family,"Estrildidae"
Lonchurinae,subfamily,"Lonchurinae"
Estrildinae,subfamily,"Estrildinae"
Passeridae,family,"Passeridae"
Motacillidae,family,"Motacillidae"
Fringillidae,family,"Fringillidae"
Fringillinae,subfamily,"Fringillinae"
Euphoniinae,subfamily,"Euphoniinae"
Carduelinae,subfamily,"Carduelinae"
Coccothraustini,tribe,"Coccothraustini"
Pyrrhulini,tribe,"Pyrrhulini"
Carpodacini,tribe,"Carpodacini"
Drepanidini,tribe,"Drepanidini"
Carduelini,tribe,"Carduelini"
Calcariidae,family,"Calcariidae"
Rhodinocichlidae,family,"Rhodinocichlidae"
Emberizidae,family,"Emberizidae"
Arremonidae,family,"Arremonidae"
Spizellini,tribe,"Spizellini"
Chlorospingini,tribe,"Chlorospingini"
Ammodramini,tribe,"Ammodramini"
Arremonini,tribe,"Arremonini"
Passerellini,tribe,"Passerellini"
Passerculini,tribe,"Passerculini"
Pipilonini,tribe,"Pipilonini"
Phaenicophilidae,family,"Phaenicophilidae"
Incertae sedis,family,"Incertae sedis"
Icteridae,family,"Icteridae"
Icteriinae,subfamily,"Icteriinae"
Sturnellinae,subfamily,"Sturnellinae"
Cacicinae,subfamily,"Cacicinae"
Icterinae,subfamily,"Icterinae"
Agelaiinae,subfamily,"Agelaiinae"
Parulidae,family,"Parulidae"
Seiurinae,subfamily,"Seiurinae"
